station,number_of_events,sampling_rate,component_availability,response_applied,response_failed,median_distance_km,min_distance_km,max_distance_km,median_snr_peak_hhz,min_snr_peak_hhz,median_trigger_latency_s,n_false_trigger_candidates,n_no_trigger,unusual_flag
HAUIG,3,200,"HHZ,HHN,HHE",3,0,20.39262846642812,17.029982752464395,110.49049389895416,6836.61224104227,680.2803919392355,0.218468,3,0,
ILLEZ,1,200,"HHZ,HHN,HHE",1,0,51.35698533125707,51.35698533125707,51.35698533125707,170.44555702898333,170.44555702898333,0.959013,1,0,
JAUN,2,200,"HHZ,HHN,HHE",2,0,60.80844660873407,54.95745356130325,66.6594396561649,86.91044749880443,51.922169260669456,1.0451770000000002,2,0,
LAUCH,4,120;200,"HHZ,HHN,HHE",4,0,80.7560749239085,15.34378538271251,112.34674439744416,610.0406516968885,4.487446127675794,0.5206790000000001,4,0,
LIENZ,2,200,"HHZ,HHN,HHE",2,0,76.24130416082582,52.00733445471368,100.47527386693795,143.98235349303872,65.08176814016177,6.1655975000000005,2,0,
LLS,2,200,"HHZ,HHN,HHE",2,0,40.149908812891866,25.350459373491628,54.94935825229211,1483.5665036954779,681.979788456941,-3.2145155,2,0,
MESRY,1,200,"HHZ,HHN,HHE",1,0,63.78811432463264,63.78811432463264,63.78811432463264,115.1361724067123,115.1361724067123,-3.983885,1,0,
METMA,2,200,"HHZ,HHN,HHE",2,0,64.2229400080426,21.467942735996598,106.9779372800886,1362.264382934188,51.55174747999881,2.3051445,2,0,
MFERR,4,200,"HHZ,HHN,HHE",4,0,58.89822072283965,21.475564571062836,102.56408114624436,257.6655890847482,95.31403468427142,-1.7160265000000001,4,0,
MMK,2,200,"HHZ,HHN,HHE",2,0,54.95859528941706,54.93412556064679,54.98306501818733,192.8918036502223,93.1870400101485,-1.0926604999999998,2,0,
MTI02,2,120,"HHZ,HHN,HHE",2,0,18.59229187057562,18.58303400947177,18.60154973167947,360.0889809149121,261.68103526642324,-0.20586150000000014,2,0,
MUGIO,1,200,"HHZ,HHN,HHE",1,0,105.28945671945549,105.28945671945549,105.28945671945549,73.43087589502392,73.43087589502392,-4.304183,1,0,low_median_snr
MUO,1,120,"HHZ,HHN,HHE",1,0,107.68975931638352,107.68975931638352,107.68975931638352,15.373590881807043,15.373590881807043,-0.426778,1,0,low_median_snr
MUTEZ,5,200,"HHZ,HHN,HHE",5,0,56.874797686681504,11.37556702141092,101.22748669314922,237.50653156971345,159.0604766157781,-3.001839,5,0,
PANIX,7,200,"HHZ,HHN,HHE",7,0,38.34098042778229,8.60772778158631,109.33850448001984,688.3042150723802,31.84865530831632,-1.306532,7,0,
PERON,1,200,"HHZ,HHN,HHE",1,0,68.37192581719901,68.37192581719901,68.37192581719901,132.60131868646988,132.60131868646988,11.925906,1,0,
PLONS,2,200,"HHZ,HHN,HHE",2,0,25.536428111735233,25.207242114160486,25.86561410930998,1441.227225399572,1100.5198604020452,0.457673,2,0,
SALAN,2,200,"HHZ,HHN,HHE",2,0,57.64571481684151,57.30285877548931,57.98857085819371,37.89218587426481,16.133775368870864,-4.0404815,2,0,low_median_snr
SALEV,1,200,"HHZ,HHN,HHE",1,0,48.64206256096899,48.64206256096899,48.64206256096899,88.32101549255934,88.32101549255934,-4.054094,1,0,
SENIN,1,200,"HHZ,HHN,HHE",1,0,106.2272858043343,106.2272858043343,106.2272858043343,114.215221344025,114.215221344025,1.420906,1,0,
SIMPL,1,200,"HHZ,HHN,HHE",1,0,55.50234917404225,55.50234917404225,55.50234917404225,1077.3953466611624,1077.3953466611624,-4.012868,1,0,
SLE,5,200,"HHZ,HHN,HHE",5,0,101.1342003120077,51.92157694016537,106.81744475128583,1122.4938715589487,6.290456266792721,-3.196231,4,0,
SULZ,4,200,"HHZ,HHN,HHE",4,0,102.98818203819275,50.63979196914057,103.67846697399068,949.8915427860421,345.1587688961956,-0.49549,4,0,
TORNY,2,200,"HHZ,HHN,HHE",2,0,62.9019105131975,18.00815971491518,107.79566131147982,1940.8526874266427,1929.6301818039003,-3.2679869999999998,2,0,
TRULL,1,200,"HHZ,HHN,HHE",1,0,53.84847259288633,53.84847259288633,53.84847259288633,2605.6404073824915,2605.6404073824915,5.802128,1,0,
VANNI,4,120,"HHZ,HHN,HHE",4,0,19.090452987827305,9.498630079888809,113.12884191269184,779.9250596685025,48.76958263515944,-2.346549,4,0,
VDL,1,200,"HHZ,HHN,HHE",1,0,53.02078727166776,53.02078727166776,53.02078727166776,320.6758256909338,320.6758256909338,-2.803892,1,0,
VDR,1,200,"HHZ,HHN,HHE",1,0,111.7315736999015,111.7315736999015,111.7315736999015,12.528853303484969,12.528853303484969,-1.596777,1,0,low_median_snr
VINZL,1,200,"HHZ,HHN,HHE",1,0,55.546908792003485,55.546908792003485,55.546908792003485,198.0197429481289,198.0197429481289,-4.238885,1,0,
VMV,1,200,"HHZ,HHN,HHE",1,0,104.8945542004429,104.8945542004429,104.8945542004429,108.77237360030428,108.77237360030428,9.295815,1,0,
WGT,3,200,"HHZ,HHN,HHE",3,0,102.18758732009717,36.9822037919793,102.4591397321602,411.3870292615969,89.0334210241955,-2.864184,3,0,
WILA,1,200,"HHZ,HHN,HHE",1,0,111.48932333588624,111.48932333588624,111.48932333588624,2192.370325084346,2192.370325084346,-2.132089,1,0,
WIMIS,4,200,"HHZ,HHN,HHE",4,0,110.52472400344332,22.53021571949091,144.43607960655223,196.45801331490492,78.09994994676195,1.2239719999999998,4,0,
ZUR,2,200,"HHZ,HHN,HHE",2,0,38.40043685803306,13.32554446865156,63.47532924741456,126.07014931785798,36.60337552792795,-0.45871949999999995,2,0,
